Feature 1,Feature 2,Correlation
adjusted_clean_sheet_season2,transfer_fee,0.15
% Medium passes completed,adjusted_clean_sheet_season1,0.15
Passes into penalty area,Shot creating actions p 90,0.15
% Medium passes completed,Progressive Carries,0.15
% Medium passes completed,carries_prgc,0.15
adjusted_clean_sheet_season2,season,-0.15
% Successful take-ons,Tackles attempted,0.15
Saves,transfer_fee,0.15
1/3,Possessions lost,0.15
Saves %,Times tackled during take-on,-0.15
Saves %,carries final 3rd,0.15
Pass completion %,adjusted_clean_sheet_season1,0.14
adjusted_assists_season1,has_advanced_stats,0.14
Passes into penalty area,season,0.14
Pass completion %,minutes_played_season2,0.14
Key passes,Possessions lost,-0.14
Passes Completed,goals_conceded_per_90_season2,0.14
Errors made,Progressive Passes,0.14
Errors made,Goal creating actions p 90,-0.14
% Aerial Duels won,% Dribbles tackled,0.14
% Successful take-ons,Progressive Passes,0.14
Progressive Passes,Take ons attempted,0.14
Possessions lost,Progressive Passes,0.14
Take ons attempted,is_left_footed,-0.14
Assists p 90,transfer_fee,0.14
Goals & Assists,transfer_fee,0.14
Interceptions,Passes into penalty area,0.14
Saves,adjusted_assists_season1,0.14
% Long passes completed,carries_prgc,0.14
% Long passes completed,Progressive Carries,0.14
Progressive passes distance,carries_prgc,0.14
Progressive Carries,Progressive passes distance,0.14
days_left_on_contract,is_left_footed,-0.14
adjusted_assists_season1,season,-0.14
Assists p 90,Saves,0.14
Goals & Assists,Saves,0.14
% Aerial Duels won,Pass completion %,0.14
Key passes,Tackles attempted,0.14
Errors made,Tackles attempted,-0.14
Errors made,is_tier1_nation,0.14
% Dribbles tackled,Goal creating actions p 90,-0.14
Passes Completed,is_tier1_nation,-0.14
Key passes,Tackles Won,0.14
Take ons attempted,height_in_cm,0.14
Matches Played,Possessions lost,0.14
Avg Mins per Match,Possessions lost,0.14
Goal creating actions p 90,minutes_played_season2,-0.14
goals_conceded_per_90_season1,height_in_cm,-0.14
Passes into penalty area,age,-0.14
Crosses Stopped,Saves,-0.14
% Medium passes completed,% Penalty saves,0.14
% Medium passes completed,Passes Completed,0.14
is_left_footed,is_tier1_nation,0.13
Progressive Carries,Take ons attempted,0.13
Take ons attempted,carries_prgc,0.13
Progressive Carries,transfer_fee,-0.13
carries_prgc,transfer_fee,-0.13
